Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
A,EAAAHB,26P,53.583,26.35,,140,310,31,10,25,3.1,,,30,,125,85
A,EAAAHB,,53.367,26.6,,179,377,41,9,22,3.2,,,29,,125,85
A,EAAAIB,16,49.45,29.25,,30,166,12,14,8,1.85,,,25,,52,79
A,EAABAB,3,69.05,30.117,,25,470,45,13,,2.8,,,41,,67,68
A,EAABHA,1,64.467,33.183,,20,330,,,,,,,23,,88,
A,EAABHA,P7,68.067,33.017,,40,650,,,,,,,17,,88,
A,EAABHA,,60.117,30.467,,70,710,,,,,,,52,,43,84
A,EAABIA,1,49.217,29.05,,23,313,25,12,8,3.07,6 0,0.5,39,,57,73
A,EAABIA,10,49,33.717,,30,397,42,9,24,3.7,6 0,0.6,34,,56,71
A,EAABIB,1,49.3,29,,25,182,15,12,5,2.85,3 0,0.5,35,,57,73
A,EAABIB,175,48.35,30.333,,25,105,7,16,4,2.2,6 0,0.8,36,,56,71
A,EBAAIB,1S,49.733,29.05,,30,160,13,15,14,1.4,,,22,,52,79
A,EBABAB,10,69.25,30.117,,149,622,47,10,5,3.2,,,36,,67,68
A,EBABAB,17,69.417,30.833,,75,1002,92,,22,2.6,15,1.7,37,,69,72
A,EBABGB,10,68.1,32.883,415,10,720,72,9,,4.2,,,45,,67,68
A,EBABHA,53,50.433,29.217,,38,258,19,9,10,3,,,29,,61,72
A,EBABHB,3,54.75,52.75,225,550,1700,99,,11,,,,42,,105,70
A,EBABHB,,56.233,32.767,,657,730,999,27,1,1.63,,,44,,141,
A,EBABHC,,56,54.833,160,,4100,999,15,37,2.23,,,34,,98,
A,EBABIA,1,55.667,60.167,490,20,1340,67,11,15,2.43,,,27,,97,77
A,EBABIA,4,48.633,31.733,,100,1175,51,13,31,2.76,,,36,,54,81
A,EBABIA,4,47.567,35.833,,62,409,,17,,2.8,,,47,,61,72
A,EBABIA,14,48.567,32.283,,100,500,26,14,5,2.8,,,38,,54,81
A,EBABIA,129,48.083,33.517,,25,567,18,8,4,4.1,3 0,0.4,31,,58,75
A,EBABIA,143,48.717,33.567,,30,211,20,17,9,1.71,4 1,0,29,,58,75
A,EBABIA,184,48.167,29.967,,25,382,19,10,11,4.05,,0.8,42,,58,73
A,EBABIA,,48.617,31.35,,47,395,23,14,12,3,,,42,,36,71
A,EBABIA,,47.633,35.817,,43,243,20,14,15,3,1 1,0.1,41,,61,72
A,EBABIB,,46.933,36.867,,75,150,8,10,11,3.1,,,31,,36,71
A,EBABZA,70,47.883,33.283,,,,,,,,,,29,,56,71
A,EBABZC,,51.417,27.917,,23,638,35,11,8,3,5 0,0.2,29,,56,71
A,EBAEHA,SG-3,69.417,30.25,,0,1000,999,,,2.9,,,26,,2,84
A,EBAEHB,,53.7,25.467,,110,170,23,14,11,2.6,,,39,,125,85
A,EBAEIC,,59.667,56.5,150,1700,1950,14,16,,2.2,,,35,,25,83
A,EBAEIC,,57.25,56.833,190,1560,1700,8,16,,2.12,,,34,,15,83
A,EBAFHB,5,50.75,36.833,,115,430,999,,,,,,46,,105,70
A,EBAFHB,35,54.75,52.417,280,600,1800,99,,,,,,46,,105,70
A,EBAFHB,1-OP,48.167,42.583,53,1900,3500,999,,,,,,52,,105,70
A,EBAFHB,1T,50.833,37.167,220,20,250,999,,,,,,38,,105,70
A,EBAFHB,,58.717,41.3,,900,3000,999,,,,,,59,,77,79
A,EBAFHC,3,59.683,30.117,,50,206,999,41,,1.76,,,72,,17,79
A,EBAFHC,3,59.883,30.383,,50,150,999,43,,1.76,,,76,,1,79
A,EBAFHC,4,59.683,30,,82,275,999,44,,1.76,,,77,,17,79
A,EBAFHC,5,59.817,30.25,,8,244,999,41,,1.76,,,72,,1,79
A,EBAFHC,,59.95,30.25,,50,250,999,42,,1.76,,,74,,1,79
A,EBAFHC,,58.2,44.017,,800,2200,999,,,,,,46,,77,79
A,EBAFIB,1,56.583,54.583,110,580,1390,999,15,,2.77,,,43,,31,
A,EBAFIB,SPUTNIK,69.417,30.25,,170,570,40,10,,3.6,,,37,,104,74
A,EBAFIC,6,54.5,53.75,190,300,1700,99,16,,2.64,,,42,,98,
A,EBAGHB,,53.55,28.5,,250,425,8,7,,3.22,,,22,,123,
A,EBAGHB,,55.917,37.917,,100,1200,999,,,,,,41,,105,70
A,EBAGHC,"1,2",55.083,30.583,,395,1065,99,12,,2.1,,,26,,121,84
A,EBAGHC,OP2,54.35,30.533,,300,1148,99,13,,2.2,,,29,,121,84
A,EBARHC,,54.917,41.65,128,170,810,28,20,,2.78,,,55,,91,
A,EBARHC,,54.733,52.283,,,,,18,1,3.6,,,70,,31,
A,EBAZIB,86,48.667,35.667,,39,249,14,,,,,,42,,61,72
A,EBAZZC,3,59.917,30.167,,80,125,,,,,,,62,,43,84
A,EBAZZC,5,59.817,30.417,,35,135,,,,,,,66,,88,
A,EBAZZC,,58.4,40.7,,,2100,,27,,2.3,,,62,,41,87
A,EBAZZC,,54.667,54,,,650,,,,,,,37,,40,85
A,EBAZZC,,54.467,54.083,,,1600,,,,,,,38,,40,85
A,EBAZZC,,53.417,56.167,,,1800,,,,,,,38,,40,85
A,ECAAIA,,50.067,24,,1000,1500,25,15,5,3.25,,,50,,57,73
A,ECABHA,,49.6,23.25,,100,1156,16,23,3,2.08,,,50,,55,70
A,ECABHB,,46.583,38.5,32,383,2200,999,27,18,2.02,,,54,,116,
A,ECABHB,,46.133,39.867,59,305,1979,999,30,15,1.89,,,56,,116,
A,ECABHC,,56.917,23.433,,575,964,39,28,8,1.86,,,52,,122,88
A,ECABHC,,52.95,25.083,,100,175,8,17,,1.9,,,32,,132,
A,ECABIA,1N,47.333,28.25,,100,244,7,37,3,1.55,,,57,,52,79
A,ECABIA,,50.333,24.167,,500,2000,999,18,18,2.8,,,49,,57,73
A,ECABIA,,49.917,34.517,,525,1970,999,21,11,1.5,,,40,,35,70
A,ECABIB,32,48.533,25.3,,40,219,24,21,14,1.66,,,34,,59,75
A,ECABIB,BUTYN,50.267,23.95,,,2425,,,,,,,50,,,
